"","Analysis","Calculus 1","Calculus 2","Caps","Complex","Linalg1","Linalg 2","Nummat 1","Ode","Prob","Stat","Statr"
"855",NA,9.5,7.5,NA,8,7,NA,NA,NA,NA,NA,NA
"856",NA,6.5,6,NA,6.5,5,NA,NA,NA,NA,NA,NA
"857",NA,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"858",NA,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"859",NA,6.5,6,NA,NA,6,NA,NA,NA,NA,NA,NA
"860",NA,6,6,NA,2.5,6,NA,NA,NA,NA,NA,NA
"861",NA,6.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"862",8.5,9,10,8.5,9,8.5,8.5,9,8.5,7,9,9
"863",NA,NA,NA,NA,NA,NA,NA,7.5,NA,NA,NA,NA
"864",7,9.5,9,8,8,8,7,9,9.5,9,9.5,NA
"865",NA,6.5,6,NA,NA,6.5,NA,NA,NA,NA,NA,NA
"866",NA,8.5,7.5,NA,NA,6.5,NA,5,NA,NA,NA,NA
"867",6,8.5,6,6,NA,5,7,NA,7.5,6,6.5,NA
"868",8,8.5,9,7,8.5,5,6,8,7,8.5,3.5,NA
"869",2,7,4.5,6.5,3.5,6,7,5,6,7,6.5,6.5
"870",NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA
"871",NA,8,6.5,NA,6.5,6,NA,NA,NA,NA,NA,NA
"872",6,8,6,6,7.5,6.5,5,7.5,8.5,7,8.5,8.5
"873",NA,9.5,8,NA,9,7.5,NA,NA,NA,NA,NA,NA
"874",8,8,9.5,8,6,6,6,8,6.5,9,7,7
"875",NA,7.5,6,NA,6.5,6,NA,NA,NA,NA,NA,NA
"876",6,7.5,7,NA,NA,7.5,6,NA,8,9.5,NA,NA
"877",6,8.5,8,NA,NA,6.5,6,NA,NA,8,NA,NA
"878",NA,6,6,NA,NA,7.5,NA,NA,NA,NA,NA,NA
"879",NA,6.5,1.5,NA,NA,2.5,NA,NA,NA,NA,NA,NA
"880",NA,8,5,NA,6,6.5,NA,NA,NA,NA,NA,NA
"881",NA,9.5,8,NA,9.5,8.5,NA,NA,NA,NA,NA,NA
"882",NA,6,1.5,NA,NA,4,NA,NA,NA,NA,NA,NA
"883",8.5,9.5,8,9,9.5,8,8.5,9.5,9.5,9.5,9,NA
"884",NA,NA,NA,NA,NA,NA,NA,7,NA,NA,NA,NA
"885",NA,9,6,NA,6,6,NA,NA,NA,NA,NA,NA
"886",NA,6,4,NA,NA,3,NA,NA,NA,NA,NA,NA
"887",6,7.5,6,6,6,6,6.5,7,6,6,1.5,NA
"888",NA,8,6,NA,NA,7.5,NA,NA,NA,NA,NA,NA
"889",NA,9,7.5,NA,7.5,6.5,NA,8,NA,NA,NA,NA
"890",7,9.5,9,7.5,9,8.5,8,8.5,8.5,9,9.5,9.5
"891",NA,7.5,7,NA,NA,8.5,NA,NA,NA,NA,NA,NA
"892",7.5,9,7.5,7,7.5,6,8,9,8,8.5,NA,NA
"893",6,7.5,6,6.5,6.5,9,6.5,NA,6.5,6,6.5,NA
"894",NA,4,1,NA,NA,1,NA,NA,NA,NA,NA,NA
"895",NA,2.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"896",9,9.5,8.5,8,9.5,9,10,9.5,8.5,10,9.5,9.5
"897",6,8.5,7.5,6,7,4.5,7.5,7.5,6,6,4.5,NA
"898",6,7,6,6.5,6.5,6,6.5,7.5,6.5,8,6,6
"899",6.5,9.5,7.5,NA,6.5,7.5,5,NA,7,NA,NA,NA
"900",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,NA
"901",NA,9.5,9,NA,NA,6.5,NA,7,NA,NA,NA,NA
"902",NA,6.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"903",NA,7.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"904",NA,5,NA,NA,NA,4,NA,NA,NA,NA,NA,NA
"905",NA,8.5,6,NA,NA,6,NA,NA,NA,NA,NA,NA
"906",NA,6,NA,NA,NA,2,NA,NA,NA,NA,NA,NA
"907",6,9.5,9.5,9.5,NA,9.5,9.5,NA,NA,7.5,NA,NA
"908",NA,5,6,NA,NA,6,NA,NA,NA,NA,NA,NA
"909",NA,7,6,NA,6,4.5,NA,NA,NA,NA,NA,NA
"910",NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"911",NA,6,NA,NA,NA,3.5,NA,NA,NA,NA,NA,NA
