"","Analysis","Calculus 1","Calculus 2","Caps","Complex","Linalg1","Linalg 2","Nummat 1","Ode","Prob","Stat","Statr"
"1120",3.5,6,NA,7.5,NA,7.5,6,NA,NA,NA,NA,NA
"1121",NA,9,7.5,NA,NA,8,NA,NA,NA,NA,NA,NA
"1122",NA,7.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1123",NA,9.5,10,NA,NA,9.5,NA,NA,NA,NA,NA,NA
"1124",NA,7.5,5,3.5,NA,NA,NA,NA,NA,NA,NA,NA
"1125",NA,NA,NA,NA,NA,NA,NA,8,NA,NA,NA,NA
"1126",1.5,4.5,NA,NA,NA,4.5,NA,NA,NA,NA,NA,NA
"1127",NA,9,6,NA,NA,8.5,NA,NA,NA,NA,NA,NA
"1128",NA,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1129",NA,9,9.5,NA,NA,8.5,NA,NA,NA,NA,NA,NA
"1130",NA,6,5,NA,NA,6.5,NA,NA,NA,NA,NA,NA
"1131",NA,8.5,6,NA,NA,9.5,NA,NA,NA,NA,NA,NA
"1132",NA,7.5,7,NA,NA,8,3.5,NA,NA,NA,NA,NA
"1133",7,8.5,9,8,NA,9,7,NA,NA,7,NA,NA
"1134",5,7.5,1.5,NA,NA,6,NA,NA,NA,3.5,NA,NA
"1135",NA,7,NA,NA,NA,6,NA,NA,NA,NA,NA,NA
"1136",NA,9,9,NA,NA,8.5,NA,NA,NA,3,NA,NA
"1137",6,7.5,8,8.5,NA,9,7.5,NA,NA,6,NA,NA
"1138",NA,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1139",NA,10,9,NA,NA,9,NA,NA,NA,NA,NA,NA
"1140",NA,9.5,9.5,9,NA,10,9,NA,NA,8,NA,NA
"1141",NA,8.5,6,NA,NA,7.5,NA,NA,NA,NA,NA,NA
"1142",NA,9,8.5,NA,NA,9.5,NA,NA,NA,NA,NA,NA
"1143",NA,5,5,NA,NA,4.5,NA,NA,NA,NA,NA,NA
"1144",NA,8.5,6,NA,NA,7,NA,NA,NA,NA,NA,NA
"1145",NA,8.5,7.5,NA,NA,7,NA,NA,NA,NA,NA,NA
"1146",NA,6.5,6.5,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1147",8.5,9.5,9.5,NA,NA,9.5,8,NA,NA,8,NA,NA
"1148",NA,7.5,3.5,NA,NA,6.5,NA,NA,NA,NA,NA,NA
"1149",NA,9,8.5,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1150",2.5,8,NA,NA,NA,7.5,NA,NA,NA,6,NA,NA
"1151",NA,6.5,5,NA,NA,5,NA,NA,NA,NA,NA,NA
"1152",NA,6.5,3,NA,NA,6,NA,NA,NA,NA,NA,NA
"1153",NA,6.5,6,NA,NA,6,NA,NA,NA,NA,NA,NA
"1154",NA,7.5,7,NA,NA,8,NA,NA,NA,NA,NA,NA
"1155",NA,8,7.5,NA,NA,6.5,NA,NA,NA,NA,NA,NA
"1156",NA,8,7,NA,NA,7,NA,NA,NA,NA,NA,NA
"1157",NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1158",NA,7.5,4,NA,NA,7,NA,NA,NA,NA,NA,NA
"1159",7,NA,NA,NA,NA,9.5,9.5,NA,NA,9.5,NA,NA
"1160",6,7,3.5,NA,NA,7,2.5,NA,NA,NA,NA,NA
"1161",NA,8,6,NA,NA,8,NA,NA,NA,NA,NA,NA
"1162",NA,7,2,NA,NA,3.5,NA,NA,NA,NA,NA,NA
"1163",NA,6,5,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1164",NA,8,6,NA,NA,7.5,NA,NA,NA,NA,NA,NA
"1165",NA,8,NA,NA,NA,7,NA,NA,NA,NA,NA,NA
"1166",NA,9,8.5,NA,NA,7.5,NA,NA,NA,NA,NA,NA
"1167",NA,NA,10,NA,NA,10,NA,NA,NA,10,NA,NA
"1168",7.5,8.5,6,8,NA,8.5,6.5,NA,NA,8.5,NA,NA
"1169",NA,7,4,NA,NA,6,NA,NA,NA,NA,NA,NA
"1170",NA,8.5,8.5,NA,NA,6.5,NA,NA,NA,NA,NA,NA
"1171",6,8,5,7.5,NA,9,5,NA,NA,4,NA,NA
"1172",NA,6,5,NA,NA,7,NA,NA,NA,NA,NA,NA
"1173",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,NA
"1174",NA,8.5,8,NA,NA,9,NA,NA,NA,NA,NA,NA
"1175",NA,8.5,6.5,NA,NA,8,NA,NA,NA,NA,NA,NA
"1176",NA,NA,NA,NA,9,NA,NA,NA,NA,NA,9.5,NA
"1177",NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA
"1178",NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1179",NA,6,NA,NA,NA,1,NA,NA,NA,NA,NA,NA
"1180",NA,4.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1181",NA,8.5,5,NA,NA,6.5,NA,NA,NA,NA,NA,NA
"1182",NA,6,5,NA,NA,9,NA,NA,NA,NA,NA,NA
"1183",NA,8,6,NA,NA,8,NA,NA,NA,NA,NA,NA
"1184",NA,NA,NA,NA,4,NA,NA,NA,NA,NA,6.5,6.5
"1185",6,7.5,3,7,NA,6.5,7.5,NA,NA,7,NA,NA
"1186",NA,8.5,7,NA,NA,8,NA,NA,NA,NA,NA,NA
"1187",NA,7.7,6.5,NA,NA,6.5,NA,NA,NA,NA,NA,NA
"1188",9.5,10,10,9,NA,10,NA,NA,NA,6.5,NA,NA
"1189",NA,1.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1190",NA,7,7,NA,NA,8,NA,NA,NA,NA,NA,NA
"1191",NA,8.5,7,NA,NA,6.5,NA,NA,NA,NA,NA,NA
"1192",NA,8.5,3,NA,NA,6.5,NA,NA,NA,NA,NA,NA
"1193",NA,8,6,NA,NA,8.5,NA,NA,NA,NA,NA,NA
"1194",NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1195",NA,3.5,NA,NA,NA,1,NA,NA,NA,NA,NA,NA
"1196",8,NA,NA,NA,NA,NA,NA,NA,8.5,NA,NA,NA
"1197",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,9
"1198",NA,NA,7,7.5,7,7,7,NA,7,6,7.5,NA
"1199",NA,NA,NA,NA,8,NA,NA,NA,NA,NA,NA,NA
"1200",NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA
"1201",NA,7.5,8.5,NA,NA,6,NA,NA,NA,NA,NA,NA
"1202",NA,7.5,NA,NA,NA,8,NA,NA,NA,NA,NA,NA
"1203",NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1204",3,7.5,3.5,5,NA,6.5,4.5,NA,NA,1.5,NA,NA
"1205",NA,NA,NA,NA,10,NA,NA,NA,NA,NA,NA,NA
"1206",NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1207",6.5,9,7.5,8.5,NA,10,8,NA,NA,7,NA,NA
"1208",NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1209",NA,6,3.5,NA,NA,3,NA,NA,NA,NA,NA,NA
"1210",NA,8,4.5,NA,NA,8,NA,NA,NA,NA,NA,NA
"1211",NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1212",9,9,8,NA,NA,9,NA,NA,NA,6.5,NA,NA
"1213",NA,8,6,NA,NA,7.5,NA,NA,NA,NA,NA,NA
"1214",NA,6.5,3.5,NA,NA,6,NA,NA,NA,NA,NA,NA
"1215",NA,7.5,6,NA,NA,7,NA,NA,NA,NA,NA,NA
"1216",NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1217",NA,8.5,6.5,NA,NA,8,NA,NA,NA,NA,NA,NA
"1218",NA,8.5,4.5,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1219",NA,NA,NA,NA,NA,NA,NA,NA,9,NA,NA,NA
"1220",6.5,7,5,NA,NA,NA,8,NA,NA,5,NA,NA
"1221",NA,9.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1222",6.5,8,6,6.5,NA,8,8,NA,NA,6,NA,NA
"1223",NA,NA,NA,NA,NA,NA,NA,NA,NA,6.5,8,NA
"1224",NA,NA,NA,NA,NA,NA,NA,NA,NA,6,6,NA
"1225",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,10
"1226",NA,NA,NA,NA,NA,7,NA,NA,NA,NA,NA,NA
"1227",NA,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1228",NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1229",NA,NA,NA,NA,7,NA,NA,NA,NA,NA,8,NA
"1230",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1231",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,8
"1232",NA,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,NA
"1233",NA,NA,NA,NA,NA,NA,NA,9,NA,NA,NA,NA
"1234",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.5,7.5
"1235",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,NA
"1236",NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA
"1237",NA,NA,NA,NA,NA,NA,NA,6.5,NA,NA,NA,NA
"1238",NA,7,5,NA,NA,8,NA,NA,NA,NA,NA,NA
"1239",NA,NA,NA,NA,NA,NA,NA,7,NA,NA,NA,NA
"1240",NA,NA,NA,NA,NA,NA,NA,9,NA,NA,NA,NA
"1241",NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA
"1242",NA,NA,NA,NA,NA,NA,1.5,NA,NA,NA,NA,NA
